"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
1,3,2,1,3,18,3
3,0,2,1,4,41,2
1,0,1,2,5,42,4
2,6,2,2,0,81,6
2,5,2,1,2,82,6
0,3,1,2,2,42,1
3,5,1,2,2,52,3
0,5,1,1,2,22,0
3,0,2,1,4,75,5
2,8,2,1,5,54,3
2,2,1,2,3,73,5
3,7,2,1,4,74,8
0,2,1,1,0,26,4
0,6,1,1,1,47,2
3,4,2,2,4,29,6
1,1,1,1,4,69,5
0,1,1,1,4,48,7
2,5,1,1,1,67,5
2,4,1,1,4,41,5
2,3,1,1,0,59,3
1,2,1,1,0,42,4
2,2,1,2,4,32,3
3,7,1,1,0,44,4
3,2,2,1,5,41,4
2,0,1,1,0,45,1
2,4,2,1,5,57,5
2,7,1,1,3,87,8
2,1,2,1,0,55,4
2,3,1,1,2,51,7
1,1,1,1,0,81,8
1,5,1,2,0,86,3
0,5,1,2,2,52,5
2,3,2,1,4,31,NA
2,1,2,2,4,37,5
2,3,2,2,4,28,5
3,8,2,2,0,94,10
2,3,1,2,3,28,6
0,NA,1,1,0,32,NA
1,0,2,1,2,63,3
0,6,1,1,0,80,NA
2,4,2,1,0,62,5
2,1,2,1,0,60,3
2,5,2,2,0,52,2
2,5,2,2,0,65,7
1,0,1,2,4,37,NA
2,5,2,1,2,59,7
0,1,2,2,0,63,4
2,2,2,2,0,66,5
0,0,1,1,0,37,NA
0,5,1,1,0,59,NA
0,NA,1,1,2,41,NA
2,0,1,2,5,53,2
2,1,2,2,4,36,1
0,4,1,1,1,49,4
0,4,1,1,0,50,7
3,3,2,1,3,35,5
2,5,1,1,4,55,5
2,2,1,2,0,71,NA
1,2,1,1,NA,38,5
3,0,1,1,2,65,NA
1,5,1,1,5,42,5
1,5,2,2,0,82,9
2,0,2,2,3,57,3
1,2,1,1,0,73,7
1,3,1,1,0,91,2
0,5,1,1,5,54,5
2,5,1,2,3,60,8
2,5,2,1,5,56,5
2,4,1,2,0,58,5
0,0,1,2,0,52,NA
2,7,1,1,0,83,10
3,0,1,2,4,51,5
2,3,1,1,0,42,5
2,3,1,1,4,58,5
3,2,1,1,4,40,4
1,6,2,2,NA,69,8
3,2,2,1,4,35,2
1,5,2,1,4,40,5
2,7,1,1,3,27,5
0,0,1,1,0,57,0
2,2,2,1,5,26,3
2,3,2,2,4,43,6
2,4,2,1,5,40,NA
2,5,2,2,3,86,5
2,4,2,2,4,59,3
2,3,1,1,4,37,5
3,5,2,1,5,55,3
2,8,1,2,3,20,2
2,3,2,2,5,48,6
0,0,1,2,3,63,7
2,6,1,2,4,40,6
2,5,2,1,0,97,7
2,2,2,2,4,31,4
2,1,2,2,5,44,3
0,6,1,1,0,36,3
3,8,1,1,0,42,2
0,5,1,1,0,22,0
1,9,NA,2,0,53,2
1,1,NA,1,4,40,4
1,4,1,1,0,87,3
1,9,1,2,0,27,7
1,2,1,2,0,59,7
2,3,1,1,0,62,5
1,8,1,1,0,69,1
0,10,1,NA,0,18,5
2,3,1,1,0,69,1
1,8,1,2,0,42,1
2,6,NA,1,0,56,3
1,2,NA,1,0,38,1
0,9,1,1,0,32,6
2,7,1,NA,0,61,0
0,NA,1,1,4,41,4
0,7,1,1,0,36,2
1,3,1,NA,0,60,4
0,5,1,1,0,36,1
2,2,1,1,4,49,5
2,6,2,2,2,72,5
1,3,1,1,4,55,8
1,4,1,1,3,22,4
3,0,2,2,4,49,5
3,7,2,2,4,35,0
0,8,2,1,NA,38,0
2,0,2,1,0,43,0
3,1,2,1,4,31,3
3,3,2,1,5,56,0
2,4,2,2,5,47,5
2,3,2,NA,4,43,5
1,6,1,1,4,28,3
1,5,1,1,4,28,5
2,3,1,1,3,57,4
1,3,1,1,0,27,NA
1,2,1,1,4,58,5
2,2,2,2,4,23,NA
2,0,2,1,3,55,5
0,0,1,1,0,62,NA
2,4,1,1,2,58,5
1,5,1,1,0,93,NA
2,4,2,1,2,68,6
3,6,2,1,5,68,5
2,8,2,1,2,70,3
1,2,2,1,4,66,5
2,4,1,1,3,55,7
2,3,1,1,4,46,4
1,4,2,1,0,70,5
2,3,2,1,2,49,2
2,4,2,2,4,55,5
2,3,1,1,4,43,4
3,7,2,1,3,58,4
2,2,2,2,3,48,2
1,2,2,1,4,32,5
3,3,2,1,4,69,3
1,0,1,1,2,65,3
1,0,1,1,2,72,NA
2,6,1,NA,4,54,5
2,0,2,1,4,36,5
3,3,2,NA,4,62,4
3,4,1,1,3,79,5
2,0,1,1,4,42,5
2,8,2,1,4,45,NA
2,3,2,1,4,50,5
1,3,1,1,3,52,4
2,4,1,2,3,70,7
1,1,1,1,0,33,5
2,3,2,1,0,61,4
2,8,1,1,0,55,2
1,5,1,2,0,21,2
2,10,1,1,0,34,3
1,5,2,1,3,72,5
3,5,1,1,0,70,2
2,4,NA,2,0,51,2
2,8,1,1,4,52,2
3,9,1,2,0,85,3
0,1,2,2,0,72,NA
0,0,1,1,0,28,NA
0,5,1,1,0,63,8
2,5,NA,1,0,78,5
2,0,1,1,3,52,4
2,2,2,1,2,60,5
2,3,1,1,3,56,5
0,5,1,1,0,74,NA
0,5,1,2,0,58,5
2,3,2,1,4,66,5
2,4,2,2,4,71,5
0,NA,1,1,4,25,5
3,4,2,1,0,69,4
1,5,2,1,0,69,5
2,7,2,2,2,51,5
0,0,1,1,0,74,5
2,4,2,1,1,55,3
2,2,2,2,3,59,5
2,4,1,1,3,56,NA
2,0,1,1,3,71,NA
1,5,1,2,4,84,5
0,NA,1,1,0,87,NA
1,3,1,2,0,51,3
0,4,1,1,0,30,2
2,0,2,2,4,60,2
2,5,2,2,4,32,5
0,4,1,1,0,73,4
2,3,2,2,3,28,5
2,3,2,1,4,49,2
3,4,2,1,3,72,7
2,3,1,2,4,23,4
2,5,2,1,4,75,6
1,8,1,NA,4,24,5
1,1,2,NA,4,22,7
2,7,2,2,3,75,5
2,5,2,2,5,45,5
1,4,1,1,3,46,5
2,2,2,1,3,48,5
3,2,2,2,4,57,3
1,5,2,2,3,50,5
3,6,2,1,5,46,7
0,3,1,1,4,53,NA
0,0,1,1,3,50,NA
1,1,2,1,3,54,5
3,10,2,1,3,80,5
1,1,1,1,4,32,NA
1,0,1,2,0,51,NA
1,2,1,NA,2,22,NA
0,NA,1,1,3,36,NA
2,3,1,1,1,70,5
3,3,1,1,2,64,3
0,2,1,1,3,55,5
2,3,2,1,0,59,5
2,3,1,1,1,70,5
3,5,2,2,0,89,10
1,1,1,1,0,46,6
1,3,1,1,2,44,NA
3,6,2,1,5,54,2
2,3,2,1,4,52,7
1,0,1,1,4,28,NA
2,4,1,1,4,61,4
2,4,1,1,4,29,7
1,4,1,2,0,45,5
3,NA,2,1,0,83,8
2,6,1,1,5,51,2
1,8,2,1,0,60,NA
3,5,2,1,4,62,1
2,5,1,1,4,79,5
1,1,1,1,0,57,6
1,5,2,1,1,82,8
3,2,2,1,5,66,2
2,5,1,1,4,43,3
3,0,2,1,4,67,7
2,6,2,1,5,52,8
1,1,1,2,4,47,5
3,2,2,1,3,33,2
2,5,2,1,5,62,2
3,3,2,1,4,45,5
3,5,2,2,5,52,3
3,8,2,1,0,76,5
3,7,2,1,4,62,2
2,3,2,1,5,84,7
2,2,2,1,4,59,4
3,6,2,1,4,45,7
3,4,2,1,5,60,5
2,7,2,NA,2,70,7
3,5,2,2,1,80,5
2,5,1,1,5,31,6
3,2,2,1,4,49,3
1,5,2,1,0,80,7
1,NA,1,2,4,53,4
0,NA,1,1,2,18,NA
0,3,1,1,0,86,NA
3,5,2,1,2,62,5
3,6,2,1,5,70,8
1,4,1,2,1,69,6
3,7,2,1,4,32,5
3,7,2,1,5,40,7
3,5,1,1,4,56,3
1,3,1,1,5,36,7
1,3,2,1,4,23,4
3,3,2,2,5,42,3
2,7,1,2,0,70,NA
2,6,2,2,2,38,7
2,0,2,1,0,53,3
0,1,1,1,3,47,0
1,3,1,2,2,70,0
1,3,1,NA,4,21,3
0,NA,1,1,0,41,5
0,5,1,1,0,24,0
2,6,2,1,3,36,NA
2,3,2,1,2,48,7
2,6,2,1,2,78,8
2,NA,2,1,3,29,0
2,6,2,1,4,46,7
0,3,1,1,4,69,6
2,2,1,1,3,59,10
3,3,2,1,4,36,4
2,7,2,1,3,63,7
0,1,1,1,0,71,5
2,2,2,1,4,35,6
2,5,1,1,0,33,NA
1,0,2,1,4,32,5
1,8,1,1,0,70,8
3,7,2,2,1,81,8
2,3,2,1,3,64,5
1,7,2,2,1,62,5
3,3,1,1,5,67,7
3,3,2,1,3,62,6
2,5,2,1,3,67,7
3,5,2,1,4,73,7
2,3,1,1,0,82,5
0,1,1,1,0,63,5
2,4,1,1,3,49,4
2,8,1,1,2,54,7
3,3,2,1,4,44,6
2,7,2,2,4,58,7
2,2,1,1,3,47,6
3,3,1,2,5,39,3
2,3,2,1,0,65,6
2,7,1,2,5,71,9
1,5,1,1,1,47,7
3,2,2,1,0,80,10
1,2,2,1,2,58,0
2,3,1,2,3,50,5
1,2,1,1,1,46,5
1,5,1,1,0,89,4
1,2,1,2,2,35,5
2,3,2,1,4,26,3
1,4,1,2,1,58,4
1,3,2,2,4,51,3
3,7,2,1,3,55,9
3,2,2,1,5,62,5
1,7,1,1,5,35,5
2,4,1,1,3,27,7
0,4,1,1,0,81,6
2,0,1,1,2,29,5
0,5,1,1,0,72,5
3,0,2,1,3,47,3
2,2,2,1,4,70,3
2,6,2,2,4,70,3
3,1,2,1,0,26,6
2,4,2,1,3,46,5
2,2,1,NA,5,28,6
2,6,1,2,2,59,NA
2,6,1,2,5,34,8
1,3,2,1,0,28,NA
0,1,1,1,2,18,NA
3,2,2,1,4,43,3
1,0,1,1,4,26,0
0,0,1,1,4,20,5
1,7,1,1,5,64,3
2,2,2,2,4,19,NA
1,2,1,1,2,55,5
2,8,2,2,5,23,3
2,4,1,1,0,56,7
2,6,2,2,4,22,7
3,2,2,1,2,52,3
0,0,1,1,2,24,NA
1,0,1,1,2,42,4
1,4,1,2,NA,23,NA
3,3,2,NA,4,44,6
1,4,1,1,3,29,5
2,4,2,1,2,46,5
0,0,1,NA,4,39,NA
2,4,1,1,2,51,8
2,1,2,1,4,51,7
1,3,1,1,0,69,5
2,0,1,1,2,51,8
1,5,2,1,1,64,5
2,5,1,1,0,43,5
3,3,1,1,3,36,4
3,6,NA,2,4,55,1
3,7,2,2,5,60,2
1,3,1,1,3,82,5
0,3,1,1,0,72,NA
3,5,1,2,0,78,5
2,4,2,1,0,35,6
3,4,2,1,5,59,3
2,7,2,1,3,55,3
0,10,1,1,0,56,5
3,3,2,2,5,47,5
2,1,2,2,5,73,2
3,2,2,2,5,64,2
2,4,1,2,3,18,2
2,3,1,1,0,89,5
3,7,2,1,4,66,7
3,7,2,1,2,64,8
3,5,2,1,3,60,8
3,8,2,1,4,69,7
0,NA,1,2,3,20,NA
2,5,2,2,4,70,8
1,5,2,1,4,64,6
3,2,2,1,4,63,3
2,3,2,1,5,73,1
1,4,1,1,2,30,5
1,4,1,1,3,45,5
2,3,2,1,4,50,4
2,4,2,1,2,36,7
2,4,1,1,4,35,NA
2,2,2,1,3,34,5
0,4,1,1,1,70,NA
3,5,2,1,3,52,5
3,3,2,1,4,44,5
0,1,1,1,0,71,1
2,6,2,NA,4,51,5
1,3,1,2,3,19,4
2,1,1,2,4,34,6
2,4,1,NA,4,22,5
3,7,2,1,4,47,8
2,2,1,1,NA,82,5
2,3,1,1,4,31,5
2,2,2,1,4,28,4
3,5,2,1,5,38,4
2,8,2,1,4,29,3
1,2,1,1,4,39,5
3,5,2,1,4,53,6
0,4,2,2,5,46,8
0,3,2,2,3,47,6
1,0,1,1,2,23,4
2,4,1,1,5,26,NA
2,3,1,1,5,32,NA
2,5,2,1,2,66,10
3,1,2,1,5,61,NA
2,1,2,1,5,32,4
2,7,2,1,5,33,4
1,5,2,1,0,68,5
2,8,2,1,3,51,10
3,3,2,2,4,69,7
3,7,2,2,NA,60,6
3,7,2,1,4,47,5
3,6,2,2,5,47,5
2,7,2,1,5,42,5
2,2,2,1,3,36,5
2,3,2,1,5,24,6
3,4,1,1,4,31,4
2,3,1,2,4,54,8
2,1,1,2,5,43,5
1,3,2,1,4,45,7
0,1,2,1,3,31,5
0,2,1,NA,0,25,NA
3,3,1,1,4,46,8
2,6,NA,1,2,57,4
3,5,1,1,4,53,5
0,4,1,1,1,49,7
2,3,2,1,2,55,6
0,0,1,1,1,38,NA
2,1,1,1,2,41,5
3,4,2,1,5,71,5
0,6,1,2,3,54,3
2,0,2,1,0,74,5
3,5,2,1,3,76,8
2,7,2,1,2,79,7
3,6,2,1,4,76,4
2,7,2,1,1,90,7
3,7,2,1,4,30,8
2,2,2,1,3,33,4
3,5,2,1,4,75,10
3,6,2,1,4,67,7
1,3,2,1,4,31,5
2,1,1,1,0,80,7
2,3,2,1,1,45,6
2,5,1,1,0,87,4
2,0,2,2,3,46,NA
2,5,2,1,NA,53,5
3,7,2,1,1,76,7
2,3,2,2,4,22,4
3,4,2,1,2,47,7
3,3,2,1,3,52,2
1,0,1,1,0,82,6
0,3,1,1,0,78,6
1,3,2,1,4,55,5
2,2,1,2,2,40,5
1,4,1,1,2,72,5
2,5,1,2,0,82,0
2,5,2,2,5,37,6
2,8,2,1,NA,42,5
3,2,2,2,5,34,3
3,2,2,2,5,49,2
3,2,2,2,3,63,7
2,0,1,1,3,75,5
2,4,1,1,5,42,NA
2,2,1,1,3,50,6
2,4,2,1,4,58,0
3,1,2,1,4,31,6
2,1,2,2,3,67,7
3,8,2,1,NA,91,10
2,6,2,1,2,69,7
3,7,1,1,4,59,5
2,5,2,1,4,34,7
1,3,1,1,5,69,7
3,0,2,1,3,67,7
2,6,1,1,3,62,NA
3,7,2,2,NA,50,6
2,3,2,1,4,28,5
1,4,2,1,2,68,7
3,5,2,1,4,70,6
2,8,1,1,4,88,7
2,3,1,1,2,53,5
3,5,2,1,4,69,10
1,5,1,1,0,76,5
2,7,2,1,4,74,7
1,5,1,1,4,52,5
2,6,2,2,3,18,4
2,3,2,2,4,26,5
2,4,1,1,3,36,6
3,3,2,2,0,30,2
2,6,2,2,5,44,5
2,6,2,1,5,28,6
1,3,1,1,3,24,4
3,6,2,1,5,42,4
3,7,2,1,5,41,7
1,5,2,1,0,78,NA
0,0,2,1,0,77,5
2,5,2,1,2,71,6
2,4,1,1,0,70,5
2,4,1,2,0,71,5
2,4,2,2,4,29,6
1,4,1,1,1,32,8
2,5,2,1,4,66,5
2,3,2,2,2,60,3
2,5,2,1,0,20,3
1,4,1,2,1,69,5
1,6,2,1,4,74,5
2,6,2,1,1,65,6
3,5,2,1,0,80,2
3,4,2,1,5,66,7
2,5,2,1,5,54,2
3,4,2,1,2,75,8
2,4,1,1,2,33,8
0,5,1,1,2,69,5
2,5,2,2,1,70,8
3,6,2,1,5,35,8
2,1,2,1,3,62,4
0,0,1,1,3,44,NA
1,5,1,2,0,80,5
3,1,2,2,3,74,5
1,3,1,1,0,22,5
0,0,1,1,3,28,5
1,6,1,1,4,55,4
0,1,1,1,0,25,6
2,7,2,1,1,78,5
2,2,1,1,4,58,7
2,10,1,1,4,99,5
2,7,2,1,0,76,10
2,8,1,1,0,77,5
2,6,2,1,2,75,6
2,2,1,1,4,44,8
1,7,1,2,4,37,NA
2,7,2,1,4,49,4
3,5,1,1,3,54,5
2,7,1,1,0,66,5
1,1,1,1,2,45,5
2,3,1,1,4,39,2
2,2,2,2,4,26,5
3,4,2,1,4,71,4
2,4,2,1,4,62,5
1,1,2,2,4,50,8
3,6,2,1,4,74,7
3,6,2,1,4,44,4
3,3,2,2,4,79,5
3,3,2,1,4,40,2
3,3,1,2,4,21,1
0,4,1,1,3,55,5
2,2,2,1,4,61,5
0,NA,1,2,3,52,NA
1,8,1,1,0,56,5
2,8,1,1,0,68,8
2,2,2,1,3,29,5
2,5,1,1,0,26,6
2,3,1,1,3,43,5
1,2,1,1,0,30,NA
2,4,2,1,4,56,NA
3,4,2,1,4,68,2
1,0,1,1,3,40,5
1,4,2,2,4,65,4
2,5,1,2,2,66,7
1,4,1,2,4,27,6
2,4,1,1,4,54,6
2,6,1,1,2,19,7
2,7,2,2,4,72,6
2,5,2,2,4,71,4
2,4,2,1,3,77,8
2,4,1,NA,3,42,7
1,5,2,1,0,52,7
1,3,1,1,3,45,5
1,3,1,1,4,33,5
3,1,1,1,2,57,3
1,1,1,1,4,22,3
2,2,2,1,3,56,8
1,3,2,1,4,34,5
1,5,1,1,3,46,5
2,NA,1,1,5,42,7
2,3,1,1,4,56,5
2,NA,2,1,4,80,7
2,NA,2,1,0,85,8
2,NA,2,1,5,85,3
3,NA,2,2,4,95,NA
0,0,1,1,NA,73,5
2,5,1,1,3,45,5
2,6,2,1,3,62,6
1,0,1,1,1,31,5
2,7,1,1,2,54,7
3,0,2,2,4,26,7
0,NA,1,1,0,30,5
3,3,2,1,2,74,5
2,0,1,1,3,21,2
0,1,1,2,0,54,4
2,2,1,1,3,20,7
3,3,2,2,5,30,3
2,7,2,1,1,78,8
3,2,1,1,5,33,4
2,7,1,2,4,50,5
0,3,1,1,3,52,5
0,5,1,2,3,32,5
2,2,1,1,4,65,7
2,5,2,2,3,46,7
1,4,1,1,0,68,5
2,1,1,2,4,57,7
3,2,1,2,2,46,3
2,4,1,1,0,56,7
1,2,1,1,4,36,NA
3,4,2,1,2,31,5
3,3,2,1,5,45,4
1,3,2,1,4,19,NA
2,6,2,1,0,71,8
2,5,2,1,1,73,5
1,0,1,1,5,53,5
2,1,1,1,0,72,NA
3,4,1,1,2,71,5
1,0,1,1,0,63,NA
2,0,2,1,3,68,5
2,2,2,2,3,57,8
2,6,1,1,0,83,4
2,0,2,2,3,68,5
3,3,2,1,4,41,6
3,7,1,2,4,61,4
2,0,2,2,1,73,4
1,5,1,1,4,25,5
1,4,2,1,4,29,4
0,3,1,1,3,27,6
3,3,2,2,4,39,3
2,4,1,2,2,35,6
2,3,1,2,5,39,6
3,8,2,1,4,61,5
3,1,2,2,4,80,4
2,5,2,1,NA,85,9
2,4,2,1,5,27,4
3,8,2,1,4,65,3
2,2,2,NA,3,20,2
2,2,1,1,5,35,NA
1,4,1,1,3,36,4
1,4,2,1,2,63,5
1,5,1,1,2,60,5
3,5,2,1,2,68,10
1,3,1,1,2,47,7
0,0,1,1,0,29,NA
2,5,2,1,4,62,7
2,0,1,1,4,61,4
3,3,2,1,4,70,3
1,4,1,2,0,50,2
3,8,2,1,1,73,7
1,3,1,2,0,86,2
2,5,2,1,2,75,7
2,0,1,1,3,19,4
1,3,1,2,0,81,8
1,0,1,2,0,87,6
1,7,1,1,0,95,9
3,4,2,1,4,80,7
0,3,2,1,2,61,5
0,3,1,1,3,23,3
2,6,2,1,1,75,7
3,2,2,1,4,62,7
2,2,2,1,4,67,5
1,0,1,1,0,62,1
2,3,1,1,4,59,3
2,4,2,1,2,67,6
1,5,1,1,4,21,5
2,0,1,1,4,48,5
2,4,2,1,4,NA,6
3,4,2,1,4,64,3
3,3,2,1,4,41,2
3,0,2,1,4,53,5
2,4,1,1,4,59,6
2,3,1,1,1,72,5
3,0,1,1,NA,71,5
2,3,1,2,4,26,5
2,0,1,2,3,35,NA
0,3,1,1,0,36,5
2,4,1,2,4,45,NA
0,4,1,2,3,33,3
0,2,1,1,4,75,6
2,1,1,2,0,47,5
3,7,2,2,4,24,9
2,5,2,2,4,79,5
3,7,2,2,3,56,5
3,6,2,1,4,80,3
2,7,2,1,2,NA,10
1,0,1,2,0,67,3
2,1,2,1,2,43,4
2,5,1,1,4,24,0
1,4,1,1,NA,49,5
0,2,1,1,3,39,5
2,4,1,1,4,34,5
0,1,1,1,0,58,2
0,1,1,1,2,47,5
1,3,1,1,2,47,5
3,1,2,2,1,66,6
1,3,1,1,3,65,8
2,1,1,1,2,29,5
3,5,1,2,2,42,5
3,1,2,1,1,60,7
2,4,1,2,3,36,1
0,0,1,2,2,24,3
2,3,2,2,3,25,3
2,4,2,1,2,26,3
1,3,1,1,2,66,7
2,2,2,1,5,24,3
2,4,2,1,4,20,NA
1,3,2,1,5,25,5
2,3,1,2,3,19,3
2,4,2,2,4,23,1
2,6,2,1,3,22,3
2,3,1,2,3,22,3
1,4,1,2,4,22,NA
2,5,1,1,4,22,6
2,5,1,2,0,79,5
2,5,1,2,3,18,5
0,1,1,2,0,67,NA
2,2,1,2,0,34,2
1,0,2,1,0,78,10
3,4,2,2,5,41,4
2,4,2,1,5,46,3
3,3,2,2,4,54,0
2,0,2,2,4,51,5
3,3,2,1,4,55,2
3,5,2,2,4,46,NA
2,5,1,1,2,32,5
3,2,2,2,4,29,1
3,6,1,2,0,87,1
1,2,1,2,4,29,5
3,7,1,2,0,83,5
1,0,1,1,2,45,0
3,1,2,1,5,60,3
2,4,1,1,2,55,7
2,5,1,2,3,79,8
1,2,1,1,4,45,8
1,1,2,2,4,69,0
2,6,2,1,4,88,8
2,5,2,1,4,72,7
2,5,2,1,3,63,5
2,3,2,1,2,78,7
3,6,2,1,2,24,2
2,2,2,1,0,60,0
1,5,1,1,0,89,3
2,3,1,1,2,37,7
2,2,2,1,3,27,5
0,0,1,2,2,46,5
0,2,1,1,4,68,3
3,6,2,1,4,64,4
1,3,2,2,4,61,5
3,7,2,2,1,81,4
3,8,1,2,0,87,8
2,6,1,2,5,59,6
3,4,2,1,4,83,1
0,3,2,1,0,66,2
2,5,2,1,0,73,3
2,0,2,1,1,66,3
2,5,1,1,4,52,7
1,6,2,1,0,78,5
2,0,2,1,3,26,2
1,3,1,2,3,32,5
2,4,2,1,4,51,5
1,3,1,2,0,77,4
3,5,2,1,3,20,8
2,6,1,2,5,31,7
1,2,2,1,5,35,4
3,3,2,2,4,57,6
1,3,1,1,4,26,NA
2,3,2,2,4,68,4
3,2,1,1,3,36,5
1,4,1,1,3,36,5
2,5,1,2,4,40,5
1,8,1,2,4,29,NA
3,7,NA,1,3,34,0
2,0,2,1,1,50,5
1,5,1,1,NA,65,5
1,0,1,1,2,64,6
1,0,1,1,2,NA,7
3,2,2,1,5,79,0
2,5,2,1,2,80,5
3,5,2,1,5,74,8
3,2,2,1,2,69,5
3,3,2,2,5,71,6
2,3,2,1,2,31,7
1,5,1,1,0,25,5
2,2,1,2,0,NA,5
3,4,2,1,5,83,3
2,6,2,1,4,84,5
2,6,2,1,5,61,4
1,7,1,2,4,52,5
3,5,2,2,3,79,0
2,0,2,1,2,40,5
0,2,2,2,2,21,2
2,2,2,2,2,69,3
2,2,1,2,1,70,5
2,0,1,1,0,53,5
2,4,2,1,4,40,7
1,4,1,2,3,67,4
2,2,1,2,4,62,6
2,1,1,2,5,38,NA
2,5,2,1,4,52,3
1,5,2,1,2,72,7
3,3,2,2,4,67,6
3,7,2,1,3,58,6
2,2,2,1,1,63,8
2,0,2,1,3,33,3
1,4,2,1,3,40,0
3,1,2,1,4,31,3
2,5,2,2,3,20,3
2,5,2,2,4,36,6
3,2,1,2,4,54,3
3,4,1,1,4,43,6
2,6,2,1,0,72,5
1,1,1,2,1,42,0
1,7,1,1,0,74,8
2,3,2,1,0,67,8
2,5,2,1,0,72,1
2,3,1,1,5,29,8
2,1,2,1,4,50,3
2,0,2,2,2,60,NA
3,5,2,1,4,64,0
2,4,2,2,4,40,3
0,2,1,1,0,65,NA
0,3,1,1,2,63,5
2,3,1,2,3,38,4
1,4,1,1,5,24,5
2,1,2,2,0,56,5
0,1,1,2,2,41,0
1,6,1,1,5,23,4
3,5,1,1,4,60,4
1,9,2,1,0,80,8
1,3,1,1,2,42,3
1,2,1,1,0,76,5
1,6,1,1,0,85,5
3,6,2,2,5,35,3
2,2,2,1,4,27,5
3,2,2,1,4,62,5
2,5,2,1,4,43,NA
2,3,2,2,4,27,5
2,1,2,2,2,56,5
1,10,1,1,3,59,5
2,0,2,1,2,70,7
1,4,1,2,0,71,5
2,4,2,1,0,73,7
3,3,2,1,4,43,7
1,0,1,1,0,67,5
2,5,2,1,3,19,3
1,0,1,1,3,48,6
1,0,1,1,2,68,5
1,8,1,1,0,66,10
3,8,2,2,5,60,8
2,0,1,1,2,41,2
0,1,1,2,1,52,NA
3,7,2,1,2,30,7
0,5,1,2,3,54,7
2,1,1,1,0,71,5
2,4,2,1,4,70,6
2,0,2,1,2,51,0
3,8,1,1,3,61,0
1,6,2,2,NA,44,7
1,5,1,1,1,27,NA
2,3,1,1,3,53,2
2,2,2,2,5,55,4
2,1,1,1,3,56,4
2,5,1,NA,3,28,5
2,0,1,1,0,69,5
2,6,1,1,2,67,7
1,0,2,2,4,65,7
3,6,2,1,5,53,6
1,5,1,1,4,61,5
2,1,2,1,3,30,7
1,1,1,2,0,39,NA
2,5,2,1,0,58,5
1,4,1,1,3,25,3
2,0,2,1,2,67,4
2,5,1,1,4,24,7
1,3,1,2,3,19,5
3,7,2,2,0,65,9
1,4,2,1,2,23,6
1,0,1,1,3,64,0
2,0,2,1,3,61,8
0,0,1,1,3,53,7
2,4,1,1,4,58,5
2,8,1,1,4,65,8
3,4,2,1,2,18,10
3,6,2,1,4,73,5
1,1,1,1,3,29,NA
2,4,2,2,3,69,5
2,4,2,1,4,61,8
2,3,2,1,4,63,7
2,3,2,1,2,73,4
3,1,2,2,4,56,3
2,0,2,2,4,37,6
1,5,1,1,4,51,5
0,3,1,1,2,60,5
2,5,1,1,3,38,3
0,0,1,1,2,46,1
3,4,2,2,4,68,6
2,3,2,1,3,32,6
1,6,1,2,2,42,2
3,3,2,1,3,23,5
2,3,2,1,4,61,2
3,2,2,1,3,19,4
2,4,2,1,1,77,10
0,0,1,1,3,30,6
1,5,1,1,1,26,6
2,3,1,1,3,24,2
1,7,2,NA,4,44,7
2,8,2,2,3,81,9
1,2,1,1,4,45,5
1,7,1,2,4,51,7
3,4,2,NA,4,48,7
2,4,2,1,4,50,3
3,4,1,1,5,40,4
1,5,1,1,2,54,5
2,6,2,1,3,58,6
2,3,1,1,2,45,5
2,6,2,1,0,77,7
0,4,1,1,3,30,NA
2,6,1,1,1,66,5
1,4,1,1,4,54,5
3,7,2,1,1,79,10
3,5,1,1,5,76,0
1,5,1,1,3,50,4
2,7,2,1,0,80,9
2,6,1,1,2,59,7
2,0,1,1,NA,47,7
1,3,1,2,2,26,NA
0,5,1,1,0,64,5
1,4,2,2,0,71,10
1,6,2,1,0,73,4
3,5,2,1,4,79,5
2,3,2,1,2,62,5
3,6,2,1,2,72,8
0,0,1,1,2,74,5
2,3,2,1,4,72,5
3,1,2,1,5,42,4
2,1,1,1,2,59,7
1,3,1,1,0,80,5
2,8,2,1,4,53,7
2,5,2,1,0,75,6
1,0,1,1,0,89,2
2,3,2,1,4,72,5
3,7,2,1,4,53,5
2,7,2,1,4,73,3
3,8,1,1,4,61,5
2,8,2,1,0,88,8
3,7,2,1,4,65,6
0,6,1,1,2,50,5
2,10,1,1,0,90,5
2,0,1,1,0,55,10
1,1,2,1,4,69,5
2,3,1,1,2,48,5
2,4,2,1,0,71,7
3,0,2,1,2,67,5
2,7,2,1,3,49,5
2,5,2,1,2,73,5
3,6,2,2,4,32,4
3,0,1,2,5,37,2
2,3,2,1,3,40,8
1,0,1,1,0,65,9
2,6,1,1,3,36,5
0,3,1,1,0,28,NA
2,3,1,1,2,42,4
1,3,2,2,0,95,5
2,4,2,2,4,53,4
2,4,1,1,5,30,5
2,4,1,1,NA,65,5
2,7,1,1,4,78,7
1,1,1,1,2,58,5
3,8,2,1,4,62,3
1,NA,1,2,4,31,NA
2,2,2,1,3,75,6
2,2,2,1,4,52,3
2,1,1,NA,4,32,3
1,2,2,1,2,55,5
3,5,1,1,1,78,5
1,3,1,1,2,62,NA
3,5,2,1,2,75,7
2,7,2,1,4,75,8
0,9,1,1,4,NA,NA
2,3,1,1,3,57,5
