"political_interest","political_trust","read_newspapers","canvassed","education_level","age","ideology"
2,5,1,1,4,57,5
2,7,1,1,4,42,5
1,0,1,1,0,42,3
0,3,1,1,2,18,NA
1,3,1,1,4,50,5
2,6,2,1,2,78,4
2,6,2,1,5,52,7
3,2,2,1,5,33,2
3,3,1,1,NA,34,5
1,0,1,1,4,33,3
3,6,2,1,4,66,6
3,7,2,1,4,54,2
2,6,1,1,4,81,8
2,4,2,1,1,24,3
2,5,2,1,1,66,8
3,4,1,1,3,69,8
1,0,1,1,0,55,5
1,2,2,1,0,37,5
1,4,1,1,2,53,6
1,6,1,2,3,37,NA
3,5,2,2,2,74,6
2,7,2,2,4,61,3
2,2,2,1,2,58,5
2,5,2,2,5,57,5
2,1,2,1,NA,47,5
1,4,1,2,0,64,5
1,0,1,1,2,22,4
2,5,1,1,4,35,5
1,4,1,1,4,30,4
0,7,1,1,0,67,10
2,3,2,1,0,80,5
1,4,1,1,4,22,NA
1,1,1,1,2,62,7
2,5,2,1,4,56,5
0,2,1,1,1,70,7
3,0,1,1,4,73,0
3,5,2,1,NA,82,3
2,3,2,1,NA,21,NA
3,7,2,2,4,47,8
1,1,1,2,3,42,3
2,7,1,1,2,67,NA
1,1,1,1,3,55,NA
0,1,1,1,0,60,NA
1,2,1,1,2,63,5
0,0,1,1,1,50,5
2,5,2,1,3,85,5
2,0,2,1,2,78,5
3,3,1,1,5,57,4
2,1,2,1,4,76,7
3,0,2,2,3,67,5
2,6,2,2,3,44,8
1,3,1,1,2,28,NA
0,0,1,NA,2,47,NA
3,3,2,1,3,19,2
1,1,1,1,5,62,8
2,4,2,1,3,74,7
2,4,1,1,4,38,7
2,7,2,1,2,81,7
1,3,2,1,4,61,5
3,2,2,1,5,63,5
2,6,1,1,4,64,7
2,5,2,1,3,60,5
2,7,2,1,4,85,7
2,2,1,1,0,71,3
2,4,1,1,2,23,NA
0,0,2,2,0,83,5
2,1,2,NA,3,52,6
1,0,1,1,2,41,NA
2,3,1,1,1,29,6
1,3,2,1,2,78,3
0,0,1,1,2,24,NA
2,4,1,1,3,24,NA
2,5,1,1,4,45,6
2,6,1,1,3,18,3
0,0,1,1,3,34,NA
2,3,1,1,0,80,6
2,6,1,1,3,38,2
1,1,1,1,4,33,NA
2,5,1,1,4,81,5
2,8,1,1,4,39,5
3,5,2,1,4,23,3
2,7,2,1,3,80,5
1,1,1,1,4,25,5
1,2,2,2,2,43,5
1,3,2,1,4,44,5
1,4,1,1,0,75,4
2,0,2,1,3,63,3
1,0,1,1,4,41,4
1,0,2,2,3,30,NA
2,6,2,1,5,35,4
2,5,2,1,2,67,4
3,2,2,1,4,32,5
1,3,2,1,4,42,5
1,2,1,2,4,50,4
1,2,1,1,2,46,3
2,6,1,1,2,69,3
2,3,2,1,3,31,4
0,0,1,1,2,39,5
0,2,1,1,2,48,NA
2,6,2,1,2,18,7
2,3,1,1,3,69,5
1,3,1,1,2,96,5
2,5,2,2,4,36,6
2,6,2,1,2,56,6
3,5,2,1,3,50,2
2,7,2,1,2,79,10
3,4,2,1,4,46,9
2,6,2,1,2,63,6
3,7,2,1,4,59,4
1,5,1,1,2,49,NA
2,1,2,1,0,65,4
1,5,1,1,4,24,5
0,5,1,1,3,45,5
2,0,1,1,0,62,6
3,4,2,2,5,48,2
2,5,2,1,4,59,5
0,0,1,1,0,67,5
2,8,2,1,0,75,6
2,3,2,1,0,82,8
2,8,2,1,3,60,8
2,7,1,1,4,42,6
3,4,2,2,4,60,3
2,3,1,1,4,69,6
3,3,2,1,4,42,4
2,5,2,2,4,82,7
2,7,2,1,4,66,3
2,3,1,1,0,57,5
2,3,2,1,4,60,4
2,2,1,1,4,31,5
2,5,1,1,3,56,7
2,2,2,1,3,57,0
1,0,1,1,1,41,NA
1,5,2,2,2,84,8
0,10,1,1,0,90,10
2,6,1,1,4,72,3
3,6,1,2,2,65,6
2,6,1,1,0,66,7
3,5,2,1,4,59,2
2,7,2,1,NA,55,3
3,6,2,2,0,82,8
3,9,1,2,5,32,1
2,2,2,2,2,88,5
2,0,2,2,0,72,5
3,0,1,2,0,29,5
0,7,1,2,0,59,NA
1,1,1,2,4,30,NA
2,6,2,1,2,51,6
1,0,1,1,2,38,NA
0,0,1,2,1,43,NA
3,4,1,1,4,42,4
2,1,1,NA,1,33,4
2,5,2,NA,5,44,2
3,0,2,1,0,74,10
2,3,2,2,4,52,5
3,0,2,1,3,48,6
3,2,2,2,0,74,10
2,8,2,1,0,72,3
2,3,1,2,3,58,6
2,0,2,1,5,70,1
1,5,2,2,3,19,2
2,2,2,2,5,41,6
2,4,2,2,0,68,7
3,0,1,1,4,28,3
2,5,2,2,5,30,3
1,3,2,2,3,35,4
3,0,2,2,4,86,5
1,4,1,1,1,44,6
2,5,1,1,4,35,10
0,1,1,NA,3,28,NA
2,6,2,1,1,66,7
2,5,2,1,2,54,5
3,7,2,2,2,51,5
1,6,2,2,3,23,6
1,5,1,NA,0,32,3
3,2,2,1,5,64,2
3,0,1,1,0,82,5
2,0,2,1,2,54,1
2,6,2,2,0,82,5
2,6,1,1,4,32,4
2,7,2,1,0,31,5
2,6,1,NA,4,47,10
1,3,2,NA,4,35,6
1,5,2,1,3,NA,2
2,2,1,2,3,NA,NA
2,5,2,1,2,58,7
1,5,1,1,3,20,NA
0,NA,1,1,0,30,NA
1,2,2,2,0,71,6
2,8,2,2,NA,33,6
2,5,2,2,2,51,4
2,4,2,1,4,70,7
2,0,2,2,5,32,2
1,3,2,2,3,46,3
3,5,1,1,3,37,5
3,3,2,1,5,50,5
3,4,2,1,NA,82,7
2,3,2,1,0,57,6
3,0,1,1,2,59,5
2,4,1,1,0,28,7
1,5,1,1,0,77,4
2,4,2,1,0,70,6
3,7,2,1,3,19,7
0,0,1,1,4,37,5
0,5,1,1,0,60,8
1,4,1,2,0,59,5
2,2,1,2,2,67,1
2,4,2,1,4,40,2
2,2,1,1,0,83,1
2,3,1,2,2,62,2
1,1,2,1,4,24,NA
3,6,2,1,2,36,3
1,5,2,2,1,58,5
1,1,1,NA,1,NA,1
1,2,2,1,3,33,4
3,6,2,1,2,57,0
0,0,1,2,4,32,NA
3,2,2,2,4,43,10
3,5,2,1,4,65,3
3,4,2,2,4,36,4
3,5,2,2,4,NA,7
1,6,2,1,2,75,7
1,5,1,NA,3,55,5
1,5,1,1,4,89,4
3,6,2,2,0,89,0
0,NA,1,1,2,20,NA
1,7,1,1,3,74,4
1,2,1,1,5,23,3
2,7,2,2,5,61,3
2,8,2,1,4,78,5
3,2,2,1,4,29,3
3,5,2,NA,4,80,2
2,3,2,1,2,43,0
2,5,1,1,3,21,4
2,7,1,1,4,70,4
2,4,1,2,3,20,3
2,6,1,2,1,64,5
2,6,1,1,4,80,2
0,0,1,2,3,32,2
3,2,2,1,4,33,7
2,6,1,1,4,57,2
2,5,2,1,4,31,3
0,1,1,1,4,47,5
2,5,2,1,2,19,3
3,3,2,1,4,31,1
3,3,2,2,4,27,5
2,3,2,2,4,33,4
2,7,2,2,4,40,4
1,3,1,2,0,53,4
2,5,2,1,5,31,2
3,2,2,2,4,29,6
2,4,2,2,4,71,5
3,7,2,1,4,40,5
2,3,2,2,4,23,3
3,3,2,2,4,NA,5
2,5,2,1,4,51,5
1,8,2,2,4,80,7
1,2,1,1,0,73,7
1,8,1,2,4,61,5
3,6,1,1,3,64,3
1,2,1,2,4,34,5
2,2,1,1,4,28,4
1,8,1,1,0,80,5
3,3,1,1,4,57,2
1,0,2,1,3,18,0
2,6,2,2,0,58,NA
1,7,1,1,0,36,NA
1,7,1,1,0,34,3
2,4,2,1,4,39,1
1,4,1,1,3,19,2
2,2,2,2,4,40,4
3,7,2,1,5,41,0
1,2,1,1,3,54,3
3,4,2,2,3,62,NA
2,4,1,1,0,85,NA
1,2,1,1,0,25,NA
1,6,2,2,5,52,5
1,7,1,2,5,36,NA
3,4,2,2,3,48,0
2,7,1,2,5,33,7
2,0,1,2,2,34,5
2,1,2,1,3,30,3
1,3,2,1,3,26,0
0,2,2,1,2,48,5
2,3,2,1,3,59,4
0,2,1,2,0,87,3
3,4,2,2,4,33,3
3,3,2,2,4,76,0
3,5,2,1,5,32,5
2,5,2,1,0,46,2
3,8,2,1,4,59,4
3,1,1,2,4,75,4
1,0,1,2,0,80,10
0,0,1,1,3,42,5
1,6,1,1,4,37,5
0,0,1,NA,3,27,NA
3,7,1,1,5,45,3
1,5,2,1,4,78,5
3,4,1,1,4,29,2
1,1,1,1,1,70,5
3,1,2,2,0,60,2
0,4,1,2,4,38,NA
1,6,1,1,0,NA,4
2,5,2,1,5,26,NA
0,5,1,1,0,66,5
3,0,2,2,4,NA,5
2,3,2,1,1,45,NA
2,6,1,2,4,33,4
2,2,2,1,4,65,3
3,5,2,1,2,73,7
2,4,2,1,5,25,3
3,5,2,2,5,36,4
2,5,2,2,3,41,2
